County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,Unnamed: 43,Year,Total adult population in prison (number) as of December 31,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,"New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)","Property crimes reported (excluding larceny under $400 and arson, per CCI)","Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3",Unnamed: 53,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center","Total county population, all ages (number), July 1, 2013","At Legislative Analyst-estimated cost per prisoner per year, 2013-14","New felon and parole violator admissions to prison, Asian/all other/unknown race","Total county population, all ages (number), July 1, 2014","At Legislative Analyst-estimated cost per prisoner per year, 2014-15",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"Total county population, all ages (number), July 1, 2015","Estimated cost per prisoner per year, 2015-16","Total county population, all ages (number), July 1, 2016","Estimated cost per prisoner per year, 2016-17"
Glenn,86.0,117.0,3.0,60.0,21.0,21.0,11.0,0.0,14.0,2.0,12.0,34.0,17.0,13.0,1.0,3.0,61.0,25.0,69.0,17.0,367.0,54.0,313.0,385.0,98.0,60.0,97.0,305.0,80.0,239.00000000000009,114.99999999999996,13.000000000000002,18.000000000000004,385.0000000000001,10230.311403932468,5994.646281469582,109.65732516158415,991.0900684380158,17325.70507900165,8997.400251236013,8858.584256476157,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,351.0,556.0,28.0,314.0,95.0,121.0,48.0,11.0,39.0,2.0,37.0,239.0,161.0,22.0,10.0,46.0,259.0,92.0,305.0,46.0,2811.0,541.0,2270.0,2032.0,467.0,403.0,724.0,1598.0,434.0,1623.999999999999,95.0,61.0,252.0,2032.0,76410.73782930925,8067.258083907086,1101.4381888009202,9695.342889709034,95274.77699172628,47072.93504398838,46346.67233232346,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,508.0,389.0,17.0,203.0,106.0,75.0,25.0,9.0,47.0,11.0,36.0,194.0,32.0,142.0,19.0,1.0,343.0,165.0,467.0,41.0,3724.0,590.0,3134.0,2349.0,556.0,653.0,700.0,1870.0,479.0,478.9999999999997,1666.000000000001,144.0,60.0,2348.9999999999977,17364.30994284199,83917.71833748632,4656.6043930837195,3358.171747764485,109296.80442117652,54525.72218410698,53684.474473253336,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,72.0,84.0,11.0,46.0,18.0,12.0,4.0,2.0,9.0,1.0,8.0,50.0,24.0,6.0,0.0,20.0,43.0,29.0,61.0,11.0,234.0,80.0,154.0,201.0,79.0,38.0,39.0,160.0,41.0,112.99999999999996,39.0,2.0,47.0,201.00000000000003,8287.381657417469,1930.5006856645443,67.54453560093502,1587.4356919211532,11872.862570604102,6267.802611551009,6171.100094136455,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,2285.0,4674.0,378.0,2172.0,1139.0,1259.0,776.0,52.0,1360.0,410.0,950.0,2300.0,792.0,1107.0,369.0,32.0,1715.0,570.0,1953.0,332.0,25039.0,4892.0,20147.0,13653.0,3901.0,3685.0,3235.0,10819.0,2834.0,5120.000000000001,6061.0,2251.000000000001,221.00000000000009,13653.000000000002,224311.8462587354,236676.3684572045,30729.45461180315,34949.505192441866,526667.1745201849,260203.29986710727,256188.7646789136,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,351.0,1437.0,146.0,691.0,330.0,382.0,178.0,20.0,355.0,112.0,243.0,652.0,183.0,362.0,83.0,24.0,219.0,132.0,306.0,45.0,2075.0,562.0,1513.0,1284.0,321.0,218.0,243.0,1009.0,275.0,374.0,723.0000000000001,126.0,60.99999999999999,1283.999999999999,40142.543952835214,47152.59852098455,9082.646597825214,5988.626982055095,102366.41605370009,50261.34492263331,49485.8899691377,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,207.0,420.0,31.0,228.0,83.0,86.0,49.0,18.0,87.0,12.0,75.0,149.0,86.0,34.0,10.0,19.0,137.0,70.0,174.0,33.0,1387.0,277.0,1110.0,1019.0,325.0,139.0,261.0,764.0,255.0,768.0,136.00000000000003,55.00000000000001,60.000000000000014,1019.0000000000002,32759.29203586207,6179.093275649902,747.5167789295865,2705.6475169964033,42391.54960743796,21775.57279180407,21439.609323007106,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,67.0,146.0,13.0,92.0,23.0,27.0,9.0,1.0,31.0,14.0,17.0,53.0,41.0,7.0,2.0,3.0,32.0,33.0,51.0,14.0,292.0,96.0,196.0,254.0,91.0,40.0,35.0,191.0,63.0,191.00000000000003,31.0,10.0,22.0,254.00000000000003,16959.462003501023,4895.760377900279,2881.9590796223515,1515.886104467616,26253.06756549127,13357.652352260802,13151.56439939012,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,17854.0,52885.0,3367.0,32670.0,9761.0,9675.0,3336.0,659.0,15542.0,3170.0,12372.0,20557.0,3127.0,9446.0,7214.0,770.0,12107.0,5747.0,15951.0,1903.0,210330.0,54747.0,155583.0,112264.0,30406.0,29187.0,30780.0,89908.0,22356.0,20442.000000000015,55353.00000000003,30744.00000000003,5724.999999999997,112263.9999999998,1987964.32168982,3004014.209057714,574789.8394687423,1085325.1194514446,6652093.489667721,3182742.950084294,3133638.1402121116,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,331.0,673.0,103.0,396.0,141.0,168.0,84.0,8.0,163.0,38.0,125.0,321.0,85.0,192.0,33.0,11.0,245.0,86.0,285.0,46.0,2829.0,685.0,2144.0,1344.0,386.0,272.0,244.0,1055.0,289.0,463.9999999999999,743.0,90.0,46.99999999999999,1343.9999999999995,39690.74956122497,47086.62408244864,4193.932733934049,4397.8610608909075,95369.16743849857,47515.74959634049,46782.65493979566,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,267.0,428.0,23.0,241.0,110.0,47.0,16.0,3.0,114.0,48.0,66.0,121.0,61.0,21.0,36.0,3.0,209.0,58.0,239.0,28.0,3609.0,524.0,3085.0,1511.0,425.0,411.0,420.0,1161.0,350.0,813.0000000000001,299.9999999999999,299.00000000000006,99.0,1510.9999999999995,126265.48736039028,25839.56705339994,5387.634779024838,13615.353938414046,171108.0431312291,83904.16324673533,82609.65154775999,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,44.0,73.0,5.0,44.0,12.0,8.0,2.0,4.0,15.0,5.0,10.0,31.0,24.0,4.0,1.0,2.0,23.0,21.0,39.0,5.0,227.0,48.0,179.0,184.0,60.0,35.0,41.0,147.0,37.0,134.0,28.0,7.0,15.0,184.00000000000003,10388.576419081492,1028.7539725416198,104.85649339401336,830.2226146468565,12352.40949966398,6535.994802627022,6435.154493766996,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,252.0,362.0,28.0,220.0,55.0,68.0,14.0,13.0,39.0,2.0,37.0,140.0,71.0,39.0,9.0,21.0,147.0,105.0,220.0,32.0,1297.0,520.0,777.0,1461.0,375.0,216.0,521.0,1138.0,323.0,1006.0000000000002,226.0,48.0,181.00000000000003,1460.9999999999984,42936.727494122686,11195.16090434826,390.94715702605305,4486.114874307983,59008.95042980498,30022.752873440135,29559.54814883279,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,667.0,1152.0,52.0,647.0,254.0,156.0,64.0,5.0,264.0,42.0,222.0,440.0,119.0,241.0,49.0,31.0,499.0,168.0,597.0,70.0,6048.0,1658.0,4390.0,3735.0,986.0,905.0,1016.0,2873.0,862.0,1072.9999999999998,2069.9999999999995,414.99999999999994,177.0,3734.999999999999,56574.276712353145,79690.31615257342,5776.059720901502,15194.332857849804,157234.98544367787,79349.00583881672,78124.77318592262,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,14.0,28.0,3.0,20.0,7.0,3.0,2.0,1.0,5.0,0.0,5.0,10.0,10.0,0.0,0.0,0.0,9.0,5.0,11.0,3.0,86.0,10.0,76.0,119.0,40.0,21.0,10.0,97.0,22.0,91.0,12.0,1.0,15.0,119.0,5050.130005312931,742.0089427662494,56.68580517623975,388.8364891563642,6237.661242411785,3443.624534716825,3390.4947247697246,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,33.0,36.0,3.0,18.0,12.0,6.0,1.0,0.0,8.0,2.0,6.0,20.0,12.0,7.0,0.0,1.0,15.0,18.0,28.0,5.0,302.0,49.0,253.0,156.0,50.0,37.0,38.0,133.0,23.0,105.0,43.0,1.0,6.999999999999999,156.00000000000006,7858.353597380417,2140.240534391526,42.688877282539785,445.2720363196586,10486.555045374143,5300.538346188771,5218.75922302618,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,1007.0,1698.0,104.0,1067.0,272.0,299.0,134.0,9.0,349.0,38.0,311.0,627.0,145.0,378.0,74.0,30.0,658.0,349.0,877.0,130.0,9003.0,2118.0,6885.0,3905.0,1171.0,954.0,907.0,3134.0,771.0,978.0000000000005,2464.000000000002,313.0000000000001,150.00000000000003,3904.9999999999977,98276.43588522395,140772.43450526602,8964.668514401714,24233.49924983055,272247.03815472225,129976.38757226396,127971.05258300884,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,234.0,389.0,23.0,213.0,79.0,68.0,22.0,4.0,96.0,20.0,76.0,158.0,77.0,56.0,17.0,8.0,160.0,74.0,206.0,28.0,2214.0,580.0,1634.0,1319.0,326.0,314.0,297.0,1059.0,260.0,722.0000000000002,416.0000000000001,114.0,67.0,1319.0000000000005,53940.35838465587,25940.45583555373,1585.337253772911,7457.987269547753,88924.13874353027,43565.01139759688,42892.87053190059,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,142.0,130.0,8.0,96.0,22.0,13.0,6.0,1.0,25.0,6.0,19.0,52.0,39.0,9.0,2.0,2.0,78.0,64.0,119.0,23.0,1127.0,289.0,838.0,661.0,185.0,155.0,226.0,490.0,171.0,587.9999999999998,44.0,9.0,20.0,661.0000000000003,57765.07222341674,4955.749561063705,228.69251384961177,2692.685191284166,65642.19948961423,34472.746354433926,33940.88510077484,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,5251.0,8793.0,605.0,4850.0,1989.0,1829.0,932.0,39.0,1946.0,397.0,1549.0,4311.0,1613.0,2089.0,303.0,306.0,3315.0,1936.0,4573.0,678.0,39662.0,7429.0,32233.0,22013.0,5210.0,6102.0,7057.0,17102.0,4911.0,9210.99999999999,9672.0,1246.0000000000011,1883.999999999999,22013.000000000033,948368.263814504,634018.2185618576,33093.726648376294,405393.2822683791,2020873.491293117,995906.2619225524,980540.9658841378,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,535.0,946.0,92.0,417.0,287.0,194.0,81.0,8.0,297.0,49.0,248.0,361.0,245.0,53.0,38.0,25.0,345.0,190.0,460.0,75.0,5090.0,816.0,4274.0,3243.0,633.0,953.0,734.0,2394.0,849.0,2426.999999999999,450.99999999999994,229.00000000000003,135.99999999999994,3243.000000000001,174403.84250873514,25518.76933452873,3026.9205011014765,19857.058150736673,222806.590495102,105119.73629392752,103497.90105762907,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,43.0,68.0,7.0,40.0,12.0,13.0,3.0,1.0,9.0,0.0,9.0,41.0,28.0,10.0,1.0,2.0,21.0,22.0,35.0,8.0,326.0,121.0,205.0,307.0,100.0,38.0,101.0,233.0,74.0,251.00000000000009,25.000000000000007,13.999999999999998,17.000000000000004,307.0,11834.92999514986,919.9533369262448,128.0825029602166,687.8401476769905,13570.805982713311,7186.2081011593555,7075.336004969488,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,3359.0,10298.0,729.0,5944.0,2321.0,1896.0,773.0,84.0,2809.0,469.0,2340.0,3842.0,1222.0,1844.0,681.0,95.0,2646.0,713.0,3017.0,342.0,45088.0,7285.0,37803.0,20806.0,5022.0,5572.0,5625.0,16088.0,4718.0,7543.000000000005,9317.999999999987,3232.000000000002,712.9999999999997,20805.999999999996,577224.5696710204,570632.5316520758,85818.24089914419,119722.89055989332,1353398.2327821336,664173.5587006916,653926.3861097463,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,4176.0,7296.0,423.0,4712.0,1329.0,1101.0,383.0,49.0,2232.0,541.0,1691.0,2455.0,787.0,482.0,968.0,218.0,2423.0,1753.0,3736.0,440.0,40823.0,8988.0,31835.0,17568.0,4603.0,4690.0,4271.0,13505.0,4063.0,6619.000000000001,3252.999999999999,6384.999999999998,1311.0000000000005,17567.99999999999,493233.3456446406,177712.40093844486,91894.77441268912,173789.27652026922,936629.797516044,452672.6677049722,445688.627325149,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,120.0,138.0,6.0,71.0,28.0,31.0,18.0,1.0,18.0,5.0,13.0,70.0,9.0,60.0,0.0,1.0,81.0,39.0,104.0,16.0,994.0,246.0,748.0,501.0,170.0,98.0,106.0,374.0,127.0,161.00000000000006,317.99999999999994,10.0,12.0,501.00000000000017,15044.66219921047,18663.039694130908,255.29603075305812,1565.587921768136,35528.58584586257,18130.860851192712,17851.129660556275,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,5629.0,11764.0,921.0,6400.0,2932.0,2188.0,882.0,172.0,2618.0,600.0,2018.0,6207.0,1826.0,2687.0,1544.0,150.0,4377.0,1252.0,4790.0,839.0,45352.0,10038.0,35314.0,30085.0,7395.0,9284.0,8426.0,23080.0,7005.0,9859.000000000002,12835.000000000002,6236.999999999997,1154.0000000000002,30084.999999999956,495476.5802515548,580345.9715594577,112880.08029397632,116061.2330747277,1304763.8651797164,653279.3550390446,643200.2631910007,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,4866.0,11856.0,869.0,6771.0,2665.0,2428.0,727.0,180.0,3703.0,658.0,3045.0,4203.0,1397.0,1525.0,984.0,297.0,3048.0,1818.0,4159.0,707.0,56300.0,12775.0,43525.0,27250.0,8349.0,6748.0,7312.0,21007.0,6243.0,11016.000000000002,9137.999999999996,5185.000000000001,1911.000000000001,27250.00000000003,1104188.854540826,607761.4763175827,108193.76506248506,301373.7954129791,2121517.891333873,991080.8616354492,975790.0140735127,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,1970.0,1533.0,99.0,990.0,241.0,321.0,30.0,15.0,193.0,41.0,152.0,640.0,131.0,89.0,372.0,48.0,1628.0,342.0,1710.0,260.0,17169.0,6030.0,11139.0,15533.0,3156.0,2564.0,6696.0,12692.0,2841.0,7038.178985625842,6826.53563169487,4444.510432550281,1357.0073869691337,19666.23243684013,280627.24655496737,89662.04416067063,34868.787399073044,211733.84526634496,616891.9233810559,286230.68357322324,281814.5860382101,,*Adjusted for San Francisco underreporting of arrests using reported-offense arrest change.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,1309.0,3489.0,252.0,2109.0,829.0,511.0,187.0,13.0,697.0,109.0,588.0,1426.0,402.0,453.0,409.0,162.0,792.0,517.0,1121.0,188.0,22502.0,5531.0,16971.0,9478.0,2705.0,2509.0,1793.0,7395.0,2083.0,3392.0000000000005,3289.9999999999977,2142.0,654.0000000000002,9478.000000000002,172986.6811034733,151554.58620176208,30805.663320740936,75185.27608490497,430532.20671088126,206141.9526992768,202961.50063238575,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,481.0,752.0,49.0,433.0,165.0,133.0,65.0,6.0,182.0,56.0,126.0,322.0,192.0,90.0,33.0,7.0,251.0,230.0,418.0,63.0,3703.0,694.0,3009.0,2049.0,570.0,524.0,495.0,1622.0,427.0,1394.0000000000005,497.0000000000001,124.0,34.000000000000014,2049.000000000002,138628.8770373615,35093.18010589547,4733.235487511065,11516.075255701377,189971.3678864694,89310.64110049643,87932.71579531701,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,1024.0,1558.0,101.0,1008.0,309.0,246.0,99.0,8.0,407.0,89.0,318.0,680.0,181.0,194.0,180.0,125.0,649.0,375.0,913.0,111.0,10749.0,2072.0,8677.0,4759.0,1235.0,1244.0,1396.0,3831.0,928.0,1410.9999999999998,1726.000000000001,832.9999999999998,789.0,4759.000000000005,211816.00124346768,118395.18113355157,13722.905093264651,145853.69980269077,489787.7872729746,239148.2154082888,235458.5276662785,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,940.0,1579.0,125.0,903.0,325.0,308.0,120.0,5.0,307.0,87.0,220.0,769.0,212.0,480.0,54.0,23.0,708.0,232.0,816.0,124.0,6637.0,1897.0,4740.0,3592.0,1154.0,836.0,816.0,2919.0,673.0,1348.0000000000002,1910.999999999999,218.99999999999997,114.0,3591.999999999999,146214.92534041207,112149.92460086252,5576.000669745338,22114.774862315797,286055.62547333573,136640.2866158523,134532.13795277095,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,4034.0,5520.0,322.0,3546.0,1123.0,804.0,324.0,19.0,1659.0,512.0,1147.0,2184.0,467.0,1144.0,320.0,253.0,2828.0,1206.0,3524.0,510.0,28803.0,5013.0,23790.0,14269.0,3663.0,3759.0,4019.0,11232.0,3037.0,3780.0,7049.999999999996,1657.0000000000002,1781.9999999999998,14269.000000000013,454766.348132475,301294.825477563,31953.82606459911,421654.4818533536,1209669.481527991,573506.4115608251,564658.0930689325,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,447.0,532.0,30.0,371.0,101.0,50.0,18.0,2.0,103.0,14.0,89.0,167.0,67.0,82.0,15.0,3.0,227.0,220.0,392.0,55.0,6020.0,1215.0,4805.0,2715.0,664.0,631.0,832.0,2174.0,541.0,1391.9999999999995,1102.0,160.99999999999997,59.999999999999986,2715.0,118990.19030138082,53539.32034939742,1820.4234253798625,14111.0183598102,188460.9524359683,91723.58670192814,90308.43337147353,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
