County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males age 18-69","Women imprisoned per 100,000 females age 18-69","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population","New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felon and parole violator admissions per 100,000 population, all races","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 5-year average",Adult poverty rate as percent of state adult poverty rate
Glenn,311.68831168831167,0.7462757544527004,160.79847065111332,-40.79847065111332,5.65224,-1.9216895646087397,14681.142857142857,-4991.401466516205,383.60655737704917,37.5,612.2448979591837,350.0,216.49484536082474,692.6125052505782,1300.3756277701127,33.86545652378731,346.3062526252891,121.20718841885117,121.20718841885117,63.48947964796967,0.0,80.80479227923412,11.543541754176303,69.26125052505782,88.31168831168831,0.5589086145433024,71.12970711297069,113.0434782608696,76.92307692307692,166.66666666666663,196.24020982099717,166.17284976745972,216.86016805003314,911.9317825110749,302.69700963990886,0.7093023255813954,223.37662337662337,1.1967975489635807,226.2295081967213,212.5,496.372295429581,766.8881907362204,191.90425363479474,206.0,535.0649350649351,0.8854239619286052,609.8360655737705,250.0,2067.263818506333,225.76971015858203,0.4174757281553398,186.0,20.0,95324.6753246753,14025.974025974023,81298.70129870127,2222.131787678938,565.6335459546389,346.3062526252891,559.8617750775508,3389.8680894861914,903.0788406343281,2336.1947702601697,1918.3784096733696,11855.113172643976,1816.1820578394536,0.16606674394484777,1.3359726496107034
Humboldt,287.4015748031496,0.6881259868403263,848.6817983456162,-264.68179834561624,27.507568,-12.467042065675216,13537.188976377953,-6135.355347281109,347.9349186483104,64.51612903225806,672.3768736616702,235.73200992555832,167.1270718232044,612.9639117924305,1181.1458101782544,60.414261889676204,329.57306216236844,99.71159524020702,127.0010844638426,50.3805954897888,11.545553133076602,40.934233835453405,2.0991914787412003,38.83504235671221,117.61811023622047,0.7443836290991486,99.1379310344828,231.57894736842104,163.93442622950818,182.53968253968253,250.85338170957343,210.70337046038105,272.70727886946554,907.9038752856837,474.45459663758726,0.7378917378917379,172.73622047244095,0.9254786027009332,190.86357947434294,105.99078341013825,368.40810451908067,647.9307052236828,99.25200167589662,935.0,460.1377952755906,0.761434740021906,538.7984981226533,170.50691244239633,1829.076515401937,159.66626356557285,0.3754010695187166,861.0,74.0,138336.61417322836,26624.0157480315,111712.59842519685,2132.7785424010594,490.16121028607023,422.98708296635186,759.9073153043145,3394.7320227785085,936.4210592899813,2125.355736817756,1177.5996132999649,5538.213639242671,2599.1860511450436,0.19115029930431968,1.5377646708138148
Imperial,172.8395061728395,0.4138298679526806,981.079500154455,-575.079500154455,19.123412,-27.08739461627514,8141.0864197530855,-11531.457903905975,208.02139037433153,35.49060542797495,365.10791366906477,162.32771822358347,107.14285714285714,371.46557225541034,713.424755176163,31.666510973241873,185.73278612770517,96.98362231298891,68.62048748560535,22.87349582853512,8.234458498272643,43.00217215764602,10.064338164555451,32.93783399309057,82.58833546189868,0.522686555233006,66.80584551148229,85.23409363745495,131.94444444444446,16.666666666666668,177.49832762943254,184.28604479725504,169.21337092236948,408.02263615565,29.778107705947264,0.6751968503937008,216.262239250745,1.1586804113888005,249.7326203208556,85.59498956158663,464.78943523583365,856.4765055713833,76.372173523701,914.0,389.1017454235845,0.643884482888932,457.75401069518716,121.08559498956159,1569.9012607475463,108.03868449694286,0.5557986870897156,856.0,58.0,158535.5470412943,25117.07109408261,133418.4759472117,2149.19366804916,508.70654722662107,597.4557110413373,640.4578831989833,3429.574015885411,892.2505150695798,2758.53173305891,1985.2779996948427,3092.382084548084,1786.6864623568356,0.18969598464106116,1.5260650097745978
Inyo,472.636815920398,1.131634980062501,83.94933143084097,11.05066856915903,4.47469,0.5205085909445286,22262.139303482585,2589.5949798235233,525.0,268.2926829268293,582.2784810126582,473.6842105263158,307.69230769230774,800.1440211664669,1340.1825999624714,178.25022819597083,387.4381576174471,151.6062355894358,101.07082372629054,33.69027457543018,16.84513728771509,75.8031177947179,8.422568643857545,67.38054915086036,248.75621890547265,1.5743328694700867,212.3893805309735,153.84615384615387,0.0,425.531914893617,421.12843219287726,289.59689552271607,310.8002004119773,0.0,1259.8935567459437,0.5972222222222222,358.2089552238806,1.9191963471751972,381.25,268.2926829268293,606.4249423577432,973.2278404489376,178.25022819597083,167.0,830.8457711442786,1.374881264362645,906.25,536.5853658536586,2313.410440411409,356.50045639194167,0.4311377245508982,145.0,22.0,116417.91044776117,39800.99502487562,76616.91542288556,1692.9362974153667,665.382922864746,320.0576084665867,328.4801771104443,2552.728761833279,664.3872141849821,1363.5187164194544,2020.2013026778525,2961.009328447162,2960.7498583529677,0.11662870159453304,0.9382538116219774
Kern,370.02856515051633,0.8859599037608288,5702.289661817273,-650.2896618172726,237.959304,-30.629943650917177,17429.085475719625,-2243.458847939437,432.0177465569831,133.3803810868031,556.780312740323,309.09090909090907,389.1808346213292,959.2395813546907,1796.2877497661004,147.54745411015773,412.40466561805,216.2656142444562,239.0504024001496,147.34163007348377,9.873408200800458,258.22759909785816,77.848026198619,180.37957289923915,168.4611440709002,1.0661599436842029,154.68749999999997,182.64312819666722,163.92714349178135,144.7963800904977,436.70843965078956,353.07988107166545,467.7273051027764,1200.802307302478,91.56066680715205,0.75054704595186,167.36248443565515,0.8966874336860847,180.5157593123209,117.14890613973184,433.86034113132786,750.5669609099689,129.59194382162002,7337.0,537.3910495861716,0.8892732097494196,612.533505869304,250.52928722653493,2546.8547106760693,277.1393979317777,0.3114351914951615,6627.0,710.0,183395.59071266386,35830.95290412363,147564.63780854022,2592.339272414013,740.6954882946652,699.6828696144172,614.2399140305671,4157.902688215541,1106.2155686459973,2282.5366049077365,2560.880936068589,7325.219495224604,632.340855136894,0.17941685787263517,1.4433715583448576
Kings,1232.866043613707,2.951852868185167,536.2733410805961,1046.726658919404,74.562466,49.30291908842176,58070.45638629284,38397.91206263378,1424.1823587710605,530.9090909090909,2152.6479750778817,1513.7614678899083,1572.0164609053497,1546.4056094037512,2859.056004593504,295.03359460859275,675.0260746039116,322.3713525604788,373.16926266091787,173.88515380534915,19.537657730938108,346.7934247241514,109.4108832932534,237.382541430898,507.7881619937694,3.2136989285014605,489.3048128342246,500.6915629322267,658.7301587301587,393.4426229508197,636.9276420285822,455.87544280953557,767.7201498002223,913.8305570523227,400.75964109830073,0.6239316239316239,273.3644859813084,1.4646203432151839,303.27056491575814,163.63636363636363,342.8858931779638,608.8177713330635,90.93501203689503,1934.0,1506.2305295950155,2.4925060785939723,1727.4529236868186,694.5454545454546,3467.8737759265678,385.96860664548785,0.18148914167528438,1743.0,191.0,161604.36137071662,43769.47040498446,117834.89096573216,1254.3176263262267,313.57940658155667,212.96046926722536,237.382541430898,2007.50696495118,555.7139624476919,931.679866725499,1533.319525705969,1387.2608456456949,1018.5974211248478,0.1597964188448125,1.2855291794804242
Lake,442.59077526987244,1.059695703503391,425.59387426879084,25.40612573120916,21.243002,1.196679334191414,20846.91069676153,1174.366373102468,549.7382198952879,121.56862745098039,701.5384615384615,597.1223021582733,329.50191570881225,1063.89128063596,1928.7667149590682,144.59218697951516,537.8430420953412,195.79373900839173,202.87062114122517,115.58907483627947,42.46129279700062,205.22958185216967,28.307528531333745,176.92205332083591,146.2217860647694,0.9254110914182458,111.97916666666667,249.99999999999994,181.81818181818178,316.6666666666666,351.48514593072736,262.5209357572641,550.2425434162743,1337.7626137462214,702.23485803843,0.6618357487922706,203.14033366045143,1.088376436824207,227.74869109947642,129.41176470588238,488.3048671655071,799.0604961973282,153.92071517174196,658.0,645.7311089303238,1.0685540377267526,777.4869109947645,250.98039215686273,2727.8272111563965,298.51290215125715,0.31458966565349544,594.0,64.0,136113.83709519132,27183.513248282627,108930.32384690871,2403.780964452424,766.6622310569556,327.89553882128257,615.6887455565089,3508.5185005445906,1189.387344508915,2344.3730076927773,2200.9701736650977,7357.694375604218,2217.5837622266217,0.19349293100351525,1.5566106589020485
Lassen,625.9842519685039,1.498794957638519,106.08522479320203,52.91477520679797,7.489218,2.492391741790598,29485.110236220473,9812.565912561411,764.3979057591623,206.34920634920633,1010.9890109890109,575.0,771.4285714285714,605.6435104330432,1093.006436683384,98.84755611737606,350.4352387411319,87.60880968528298,102.84512441315827,34.28170813771943,3.809078681968825,118.08143914103358,53.32710154756355,64.75433759347003,208.66141732283464,1.320580162083845,214.65968586387433,225.80645161290323,200.0,136.36363636363635,201.88117014434772,241.7529517831177,142.9808540384936,69.39723794628193,197.9040503873218,0.47761194029850745,263.7795275590551,1.413266470221368,267.0157068062827,222.2222222222222,255.20827169191128,381.8036182935108,106.45121428025115,226.0,889.763779527559,1.4723786202776534,1031.413612565445,428.57142857142856,1474.8100549768947,205.29877039762718,0.29646017699115046,197.0,27.0,114960.62992125984,37795.27559055117,77165.35433070865,967.5059852200817,346.62616005916306,152.363147278753,133.31775386890888,1429.8919822364817,479.03046426113013,1126.2149705018412,633.2009250276144,346.98618973140964,1451.2963695070264,0.13978779840848807,1.124563961373608
Los Angeles,501.0689090002138,1.1997099797276378,46887.998725133984,9364.001274866016,2649.581704,441.06318804873905,23601.34775172807,3928.803428069008,588.2123948925569,150.60833780640544,1074.458988357561,334.429711858019,314.32748538011697,845.6285241236116,1661.6170651984119,107.4469944947789,491.12358463909527,146.73576093242147,145.44293484491115,50.14962590621433,9.906655717084904,233.64073316378386,47.65417090008975,185.98656226369414,183.1130193116226,1.1588889974233967,152.96937677330973,170.65019059490893,234.64741087691885,134.4978165938865,309.03053349941484,157.29658555149373,314.4459161184521,1255.0674184964096,70.94648287410695,0.6781113475971771,159.03584408180717,0.8520753224635754,177.4146905725853,85.12256217570227,268.3967089117358,501.17148164848004,60.72813499363359,74106.0,660.104753082021,1.0923395039722712,765.6270854651422,235.73089998210773,2162.7885468468917,168.1751294884125,0.24092516125549887,68836.0,5270.0,187353.02501247096,48766.300862253345,138586.7241502176,1687.6491614913805,457.08918624231194,438.7641280949273,462.7114764368336,2824.858978876029,713.4199610707685,1028.2880722237408,1842.6344267313873,5348.737553958088,527.4917070834573,0.1378067676483005,1.1086269781415705
Madera,577.3809523809523,1.382424010418457,561.33284300025,214.66715699974998,36.551152,10.111252429002224,27195.79761904762,7523.253295388557,637.914691943128,356.401384083045,1025.9067357512954,518.3823529411765,688.5245901639344,813.680166077181,1416.3724780042876,220.16706861239516,415.2285383589738,147.84652502175584,176.1575617280495,88.07878086402475,8.38845532038331,170.91477715280993,39.84516277182072,131.0696143809892,238.83928571428572,1.5115704028434445,183.18965517241384,258.41184387617767,366.66666666666663,234.0425531914894,336.5867697303803,214.155693554951,407.75911151287505,786.8509605075353,250.1215897387092,0.7401812688821753,246.27976190476193,1.3195069875776397,270.14218009478674,159.16955017301038,347.07233888085943,599.8011236719494,98.32704035116677,1107.0,823.6607142857143,1.3629914523165234,908.0568720379148,515.5709342560554,2016.1736016762368,318.494108963562,0.2990063233965673,958.0,149.0,210491.07142857148,50967.261904761916,159523.80952380958,1409.260493824396,404.7429692084947,285.2074808930325,255.84788727169095,2220.316440259321,617.7503187279826,1169.0381389352615,1577.942811739928,2145.9571650205507,1068.7013379744847,0.16214105043892277,1.304391256310116
