County,"Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2010 Census",Adult poverty rate as percent of state adult poverty rate,,Raw numbers,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced"
Lassen,2078.420274816841,440.21004307769704,1638.2102317391443,1347.9202449406316,365.91740721380035,265.1034276753043,302.441938615488,1427.630133977597,1178.5297549591598,1786.4561695056086,525.5255255255256,627.6150627615062,805.9873344847438,0.13978779840848807,1.124563961373608,,Lassen,137.0,84.34,133.0,4.0,72.0,33.0,20.0,12.0,83.0,17.0,15.0,1.0,1.0,52.0,15.0,37.0,42.0,39.0,3.0,28.0,10.0,2.0,2.0,18.0,10.0,7.0,36.07
Los Angeles,2570.3873924206277,422.0299953929833,2148.3573970276443,1476.5732119894335,378.2644610074467,321.99204357703655,514.1791037230935,2367.589855320574,596.4179892964605,1061.5264001444493,1587.7154232203266,4244.290065693004,443.2628008058685,0.1378067676483005,1.1086269781415705,,Los Angeles,45376.0,16056.0,43359.000000000015,2017.0,4598.999999999999,20806.0,17096.0,2875.0,31678.0,6802.0,3601.0,1525.0,211.0,14988.0,2699.0,12289.0,11104.0,10301.0,803.0,1441.0,5254.0,3821.0,588.0,4994.0,2592.0,1840.0,9008.0
Madera,2772.3106702782056,576.8069060934973,2195.5037641847084,1697.1253184617547,412.24497983911414,310.9390358883829,425.2843587634656,2901.099832588103,615.1326439277076,1496.805923074867,1764.4406028035628,3384.1754051477596,1047.012933689181,0.16214105043892277,1.304391256310116,,Madera,540.0,411.0,493.0000000000001,47.0,142.0,294.0,68.0,36.0,348.0,77.0,59.0,23.0,0.0,203.0,32.0,171.0,242.0,216.0,26.0,61.0,135.0,25.0,21.0,110.0,47.0,39.0,355.0
Marin,1926.575922983026,174.27086452167637,1752.3050584613495,937.202801233465,249.5749157036226,208.65154615406783,298.5676820657656,1409.0247452692868,474.7774480712166,734.179103240829,1141.8877035007015,5410.379094589621,573.7851891698045,0.07147050093988062,0.5749654159617124,,Marin,276.0,249.0,265.0,11.0,127.0,56.0,71.0,22.0,187.0,58.0,12.0,5.0,0.0,99.0,29.0,70.0,72.0,69.0,3.0,23.0,23.0,19.0,7.0,34.0,13.0,8.0,174.0
Mariposa,1914.1659311562225,391.6593115622242,1522.5066195939983,1425.4931211669152,488.97729156306974,149.17951268025857,455.82628874523454,2137.3056994818653,679.1171477079796,1340.725806451613,1507.0921985815603,2325.5813953488373,2137.2328458942634,0.1256362175194214,1.0107174164999067,,Mariposa,63.0,41.0,60.00000000000001,3.0,50.00000000000001,4.0,2.0,6.999999999999993,45.0,9.0,3.0,0.0,0.0,26.0,7.0,19.0,11.0,9.0,2.0,9.0,1.0,0.0,1.0,7.0,0.0,1.0,27.0
Mendocino,2324.5044332749762,578.3023662958152,1746.202066979161,2355.7224774487777,637.1349049327655,420.8443714161162,781.328593943865,3532.940052071318,1136.5575616915253,2273.9972303879886,1961.3875855703407,10961.968680089485,3278.362805483807,0.16358625757854126,1.316017649203046,,Mendocino,328.0,296.0,317.0,11.000000000000002,185.0,64.0,16.0,63.0,211.0,26.0,36.0,7.0,8.0,54.0,3.0,51.0,103.0,98.0,5.0,54.0,24.0,7.0,18.0,46.0,13.0,18.0,179.0
Merced,3218.2112411285225,554.9928803943626,2663.2183607341603,2000.920777703014,473.3741780878516,409.03778730035066,635.6907603498955,3142.810617163328,824.4655354232575,1891.5671424410139,2013.217876851266,5988.219895287958,832.9338446788112,0.19028081316234383,1.5307698344167031,,Merced,990.0,734.0,958.9999999999997,31.000000000000007,230.00000000000003,529.0,130.0,101.0,649.0,170.0,70.0,23.0,3.0,310.0,30.0,280.0,337.0,316.0,21.0,79.0,183.0,43.0,32.0,176.0,71.0,32.0,607.0
Modoc,2244.9618878563224,511.64247676725483,1733.3194110890674,3546.558704453441,890.6882591093117,356.2753036437247,1133.6032388663969,5241.157556270096,1827.0799347471452,3512.4841303427847,2250.8038585209006,4411.764705882353,6473.214285714286,0.1765033407572383,1.4199329150145856,,Modoc,21.0,31.0,19.0,2.0,11.0,4.0,0.0,6.0,17.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0
Mono,1581.5959741193385,258.8066139468009,1322.7893601725377,1065.2721286073988,309.89734650397054,87.15862870424172,532.6360643036994,1684.1724013038754,353.8717735220649,1052.3400720022155,787.0916961826053,5263.157894736842,2285.714285714286,0.12119035402770652,0.9749513631183434,,Mono,22.0,22.0,19.000000000000004,3.0,11.0,8.0,0.0,3.0,14.0,5.0,1.0,0.0,0.0,7.0,1.0,6.0,5.0,4.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0
Monterey,2891.803217567996,427.12935518147754,2464.6738623865185,1449.9594884982562,429.06964455560643,314.93289181667666,408.9900306478317,2219.0340832908746,598.3400887859486,1248.9374223500947,1549.611495208231,3966.499941840177,680.1344075138659,0.12341853752672162,0.9928766390783916,,Monterey,1680.0,928.0,1600.0000000000002,80.0,260.0,1077.0,197.0,146.0,1155.0,208.0,138.0,37.0,2.0,514.0,41.0,473.0,432.0,404.0,28.0,68.0,270.0,52.0,42.0,211.0,78.0,65.0,668.0
Napa,2074.3320068220582,379.4769755542922,1694.8550312677658,1976.3511734914134,386.4256157013046,340.096659050467,492.77162983163635,2978.556052326544,938.6854118000042,1957.3400250941029,1686.8690065512549,13170.731707317074,630.1859048419283,0.09860003010687943,0.7932168737970229,,Napa,272.0,171.0,263.0000000000001,9.0,126.0,99.0,31.0,16.0,198.0,33.0,13.0,3.0,1.0,89.0,18.0,71.0,65.0,60.0,5.0,25.0,23.0,14.0,3.0,33.0,11.0,7.0,124.0
Nevada,1934.3009931245224,313.7254901960784,1620.5755029284442,1388.700411634324,289.50106301171576,205.063252966632,588.0490342425477,2180.562706320603,603.5673533121134,1458.6539806911992,952.2160664819944,4982.20640569395,582.901554404145,0.09496275806908504,0.7639557716265551,,Nevada,125.0,196.0,120.00000000000004,5.0,101.0,16.0,5.0,3.0,81.0,22.0,8.0,3.0,2.0,26.0,4.0,22.0,42.0,40.0,2.0,35.0,4.0,2.0,1.0,15.0,14.0,6.0,141.0
Orange,1943.2637441214924,199.2919514016846,1743.9717927198078,1073.1978232599872,231.04799982392774,238.63409142738868,427.72444880254477,1641.2885022337173,509.86862046357294,1072.6903827945355,1377.9644815330635,3625.761381022488,431.06464273370887,0.09307280991713453,0.7487515291622919,,Orange,6821.0,5755.0,6531.999999999999,289.0,1676.9999999999998,3834.9999999999995,669.0,640.0000000000009,4857.0,993.0,521.0,215.0,15.0,1535.0,295.0,1240.0,1894.0,1761.0,133.0,602.0,1005.0,166.0,121.0,903.0,452.0,331.0,3159.0
Placer,1965.6560061258738,161.83602426454217,1803.8199818613314,1607.3217375466713,275.6827909364108,391.99940392910065,529.0129231482479,2367.462565762849,874.1685234277164,1545.656482066247,1503.7148861853595,9572.240502542627,1039.461020211742,0.06533312938831297,0.5255915296638256,,Placer,683.0,611.0,646.0,37.0,500.0,82.0,57.0,44.0,386.0,153.0,72.0,21.0,5.0,295.0,47.0,248.0,281.0,258.0,23.0,200.0,43.0,25.0,13.0,109.0,81.0,43.0,436.0
Plumas,2043.6105476673429,461.4604462474645,1582.1501014198782,1826.9747447608813,637.1382513241729,184.23274737084517,575.7273355338912,2850.10013865352,810.8935128518973,1725.8606594604414,2417.79497098646,3921.5686274509803,2045.728038507822,0.1236061684460261,0.9943860910641266,,Plumas,49.0,41.0,47.00000000000001,2.0,43.00000000000001,2.0,2.0,1.999999999999993,34.0,7.0,3.0,1.0,1.0,8.0,0.0,8.0,16.0,15.0,1.0,13.0,2.0,0.0,1.0,9.0,2.0,3.0,31.0
Riverside,2936.9578402899556,271.5950613084634,2665.3627789814923,1427.626114012981,315.3059835729806,322.680778000586,479.6298121371685,2188.1175922404973,664.952364327293,1367.491510970241,1432.762351003822,3057.0963840347,513.9258509834972,0.12111075701217262,0.9743110215712169,,Riverside,9898.0,3902.0,9365.999999999996,532.0000000000001,2654.0,4611.0,2268.0000000000005,365.0,6490.0,1657.0,997.0,503.0,35.0,3774.0,399.0,3375.0,2854.0,2624.0,230.0,855.0,1338.0,582.0,79.0,1351.0,673.0,466.0,2349.0
Sacramento,3237.5402079307446,505.8105083965766,2731.729699534168,1842.2174579739374,495.8368225742611,364.98392829342794,646.6330817688137,2955.855236396149,760.2960942044975,1517.3441728822727,1708.3036159174621,5949.962793878084,690.411466699617,0.12684362706256863,1.0204307768525331,,Sacramento,6634.0,3905.0,6328.999999999998,305.0,1748.0,1231.0,2928.000000000001,726.9999999999991,4775.0,856.0,421.0,102.0,30.0,2336.0,444.0,1892.0,1688.0,1583.0,105.0,461.0,334.0,739.0,154.0,770.0,293.0,268.0,1759.0
San Benito,1630.2826756227262,342.8491463755947,1287.4335292471314,1735.8038827876958,606.3602768958518,239.42122521209598,504.8664966428981,2726.6066568976344,755.7718190288849,1354.7120418848167,2075.579730890352,2710.843373493976,862.0689655172414,0.11568645274672,0.9306736142874438,,San Benito,109.0,124.0,104.00000000000003,5.0,26.0,78.0,2.0,3.0,83.0,9.0,12.0,4.0,0.0,24.0,7.0,17.0,25.0,24.0,1.0,7.0,18.0,0.0,0.0,17.0,0.0,4.0,92.0
San Bernardino,2988.5187119498096,392.45664304312425,2596.0620689066855,2251.0124132858505,550.6321567455672,641.9971584909835,713.2503673993584,3448.8223463172026,1060.1238171905932,2195.950571103009,2072.2511296217717,4938.251112143948,833.4530823394165,0.1279826464208243,1.029593952295487,,San Bernardino,9106.0,5198.0,8627.999999999998,478.00000000000006,2166.000000000001,3908.0,2591.0000000000005,440.9999999999982,5925.0,1584.0,741.0,259.0,40.0,2855.0,367.0,2488.0,3721.0,3460.0,261.0,908.0,1717.0,945.0,151.0,1842.0,772.0,485.0,3837.0
