County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2016","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","Estimated cost per prisoner per year, 2016-17"
Marin,276.0,330.0,265.0,11.0,111.0,65.0,80.0,20.0,197.0,52.0,7.0,2.0,0.0,98.0,26.0,72.0,79.0,71.0,8.0,25.0,18.0,31.0,5.0,35.0,28.0,3.0,250.0,80.0,283.0,47.0,5450.0,475.0,4975.0,1183.0,446.0,351.0,114.0,908.0,275.0,559.0,296.0,270.0,58.0,263257.0,123152.0,29393.0,5258.0,15604.0,173407.0,86602.0,86805.0,73694.0
Mariposa,69.0,35.0,66.0,3.0,53.0,6.0,2.0,8.0,53.0,9.0,1.0,0.0,0.0,19.0,6.0,13.0,25.0,23.0,2.0,18.0,3.0,1.0,3.0,16.0,3.0,2.0,14.0,21.0,28.0,7.0,321.0,80.0,241.0,156.0,68.0,18.0,42.0,125.0,31.0,112.0,25.0,2.0,17.0,18055.0,9805.0,1123.0,106.0,828.0,11862.0,6024.0,5838.0,73694.0
Mendocino,349.0,305.0,326.0,23.0,197.0,64.0,21.0,67.0,227.0,39.0,32.0,7.0,3.0,70.0,4.0,66.0,138.0,129.0,9.0,78.0,24.0,9.0,27.0,66.0,17.0,17.0,191.0,114.0,263.0,42.0,2050.0,606.0,1444.0,1062.0,381.0,186.0,186.0,830.0,232.0,707.0,198.0,32.0,125.0,88995.0,40259.0,13225.0,430.0,4942.0,58856.0,29719.0,29137.0,73694.0
Merced,925.0,662.0,893.0,32.0,199.0,515.0,139.0,72.0,699.0,80.0,38.0,12.0,1.0,247.0,29.0,218.0,312.0,293.0,19.0,70.0,180.0,44.0,18.0,166.0,47.0,23.0,647.0,15.0,607.0,55.0,9146.0,1488.0,7658.0,2541.0,908.0,534.0,241.0,2097.0,444.0,739.0,1413.0,279.0,110.0,272610.0,54656.0,95246.0,6298.0,17253.0,173453.0,88163.0,85290.0,73694.0
Modoc,16.0,23.0,15.0,1.0,11.0,3.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,4.0,0.0,0.0,1.0,4.0,1.0,0.0,13.0,10.0,20.0,3.0,204.0,41.0,163.0,121.0,36.0,17.0,6.0,87.0,34.0,84.0,16.0,1.0,20.0,9469.0,4680.0,940.0,62.0,411.0,6093.0,3055.0,3038.0,73694.0
Mono,19.0,0.0,16.0,3.0,11.0,6.0,1.0,1.0,12.0,3.0,1.0,0.0,0.0,4.0,1.0,3.0,6.0,5.0,1.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,199.0,37.0,162.0,85.0,50.0,12.0,8.0,67.0,18.0,44.0,27.0,4.0,10.0,13785.0,7094.0,2451.0,34.0,460.0,10039.0,5376.0,4663.0,73694.0
Monterey,1621.0,905.0,1552.0,69.0,283.0,1036.0,182.0,120.0,1261.0,122.0,83.0,17.0,4.0,446.0,45.0,401.0,436.0,411.0,25.0,89.0,276.0,43.0,28.0,225.0,66.0,32.0,576.0,329.0,790.0,115.0,12218.0,1822.0,10396.0,2951.0,1126.0,666.0,276.0,2403.0,548.0,665.0,1893.0,257.0,136.0,441129.0,92726.0,161909.0,8966.0,25948.0,289549.0,151697.0,137852.0,73694.0
Napa,320.0,236.0,310.0,10.0,142.0,123.0,33.0,22.0,233.0,38.0,13.0,3.0,1.0,95.0,16.0,79.0,114.0,110.0,4.0,50.0,46.0,11.0,7.0,63.0,21.0,7.0,218.0,18.0,204.0,32.0,3122.0,598.0,2524.0,1126.0,364.0,203.0,83.0,876.0,250.0,585.0,338.0,155.0,48.0,142269.0,51751.0,31991.0,1961.0,9514.0,95217.0,48152.0,47065.0,73694.0
Nevada,102.0,173.0,99.0,3.0,88.0,9.0,2.0,3.0,72.0,16.0,3.0,1.0,0.0,22.0,5.0,17.0,36.0,33.0,3.0,32.0,2.0,1.0,1.0,14.0,12.0,3.0,135.0,38.0,139.0,34.0,2018.0,212.0,1806.0,599.0,168.0,114.0,104.0,465.0,134.0,523.0,44.0,14.0,18.0,98552.0,56335.0,5917.0,255.0,3126.0,65633.0,32733.0,32900.0,73694.0
Orange,6563.0,6361.0,6266.0,297.0,1610.0,3673.0,692.0,588.0,5080.0,731.0,319.0,39.0,4.0,1469.0,291.0,1178.0,1861.0,1703.0,158.0,575.0,993.0,194.0,99.0,847.0,489.0,222.0,3458.0,2903.0,5589.0,772.0,73329.0,7275.0,66054.0,16803.0,5633.0,4864.0,1995.0,13285.0,3518.0,6087.0,7883.0,1255.0,1578.0,3181371.0,928894.0,730545.0,35417.0,455835.0,2150691.0,1074634.0,1076057.0,73694.0
