County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2013","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","At Legislative Analyst-estimated cost per prisoner per year, 2013-14",
Glenn,109.0,105.0,105.0,4.0,60.0,33.0,2.0,14.0,70.0,17.0,11.0,3.0,0.0,31.0,2.0,29.0,35.0,33.0,2.0,24.0,8.0,1.0,2.0,20.0,4.0,6.0,69.0,36.0,91.0,14.0,865.0,151.0,714.0,429.00000000000006,99.99999999999997,69.0,118.99999999999997,334.00000000000006,94.99999999999999,237.0,136.99999999999994,17.0,37.99999999999999,28684.0,10091.0,6778.0,143.0,1105.0,18117.0,9259.0,8858.0,,
Humboldt,399.0,361.0,379.0,20.0,266.0,29.0,17.0,87.0,303.0,44.0,34.0,12.0,4.0,51.0,6.0,45.0,114.0,108.0,6.0,75.0,3.0,4.0,32.0,55.0,25.0,16.0,238.0,123.0,310.0,51.0,5458.0,474.0,4984.0,2361.000000000001,449.0000000000005,487.00000000000006,798.0000000000005,1761.0000000000007,600.0000000000001,1945.0,106.00000000000007,82.00000000000001,228.00000000000009,134646.0,75983.0,9092.0,1116.0,10502.0,96693.0,49445.0,47248.0,,
Imperial,348.0,488.0,339.0,9.0,51.0,254.0,30.0,13.0,210.0,54.0,57.0,28.0,2.0,66.0,11.0,55.0,132.0,128.0,4.0,15.0,105.0,7.0,5.0,53.0,29.0,34.0,269.0,219.0,428.0,60.0,6215.0,517.0,5698.0,2758.9999999999986,528.0000000000002,629.0000000000002,990.9999999999993,2200.9999999999986,558.0000000000001,484.0,2024.000000000001,182.0,69.00000000000003,180047.0,16179.0,90600.0,4547.0,3675.0,115001.0,60204.0,54797.0,,
Inyo,41.0,74.0,39.0,2.0,20.0,4.0,0.0,17.0,29.0,6.0,2.0,0.0,0.0,7.0,1.0,6.0,11.0,11.0,0.0,3.0,0.0,0.0,8.0,6.0,3.0,0.0,31.0,43.0,65.0,9.0,383.0,75.0,308.0,211.99999999999997,73.99999999999996,34.0,73.99999999999997,162.99999999999997,49.0,106.99999999999999,59.99999999999999,3.0,42.0,18585.0,8440.0,2362.0,90.0,1741.0,12633.0,6523.0,6110.0,,
Kern,4046.0,2535.0,3872.0,174.0,1149.0,1855.0,926.0,116.0,2293.0,682.0,575.0,323.0,15.0,1434.0,363.0,1071.0,1485.0,1382.0,103.0,448.0,705.0,301.0,31.0,481.0,407.0,284.0,1692.0,843.0,2237.0,298.0,38351.0,4969.0,33382.0,15421.99999999999,3765.9999999999977,3577.0,4863.000000000001,12230.999999999993,3190.9999999999986,6156.999999999999,6808.0,2214.0000000000014,243.00000000000003,867825.0,222031.0,271234.0,32533.0,37589.0,563387.0,298662.0,264725.0,,
Kings,1483.0,603.0,1385.0,98.0,352.0,790.0,268.0,73.0,884.0,154.0,262.0,172.0,8.0,468.0,129.0,339.0,480.0,406.0,74.0,102.0,272.0,82.0,24.0,225.0,78.0,86.0,286.0,317.0,496.0,107.0,4448.0,725.0,3723.0,2200.9999999999995,509.99999999999983,369.9999999999999,639.9999999999998,1660.9999999999995,539.9999999999999,713.9999999999999,1142.0000000000002,225.00000000000003,119.99999999999999,150128.0,38036.0,51042.0,8282.0,6269.0,103629.0,62161.0,41468.0,,
Lake,311.0,317.0,296.0,15.0,203.0,39.0,32.0,37.0,206.0,30.0,43.0,25.0,2.0,59.0,10.0,49.0,125.0,118.0,7.0,86.0,20.0,13.0,6.0,64.0,14.0,29.0,160.0,157.0,266.0,51.0,2189.0,356.0,1833.0,1295.0,309.9999999999999,161.00000000000006,519.0,952.9999999999999,342.0,977.0000000000002,171.0,53.0,94.00000000000001,64548.0,32349.0,7100.0,787.0,2962.0,43198.0,21732.0,21466.0,,
Lassen,154.0,125.0,150.0,4.0,82.0,38.0,23.0,11.0,90.0,13.0,24.0,16.0,1.0,35.0,16.0,19.0,31.0,31.0,0.0,24.0,1.0,4.0,2.0,17.0,5.0,3.0,41.0,84.0,101.0,24.0,703.0,127.0,576.0,379.0,108.99999999999999,70.00000000000001,92.00000000000003,292.0,87.0,292.00000000000006,42.0,12.999999999999998,32.0,32299.0,16916.0,5233.0,2867.0,1716.0,26732.0,18206.0,8526.0,,
Los Angeles,45956.0,18486.0,43905.0,2051.0,4701.0,20854.0,17230.0,3171.0,32891.0,5937.0,4017.0,1926.0,167.0,15636.0,3088.0,12548.0,11127.0,10369.0,758.0,1303.0,5054.0,3728.0,1042.0,4737.0,2657.0,1967.0,10038.0,8448.0,15920.0,2566.0,268803.0,40384.0,228419.0,102730.00000000003,24843.000000000022,24602.999999999953,35113.000000000044,81729.00000000006,21000.99999999997,21006.000000000007,51850.999999999905,25005.0,4868.000000000005,10056433.0,1942787.0,3217805.0,580375.0,1130523.0,6871490.0,3412633.0,3458857.0,,
Madera,591.0,450.0,499.0,92.0,148.0,303.0,83.0,57.0,381.0,86.0,74.0,39.0,1.0,190.0,40.0,150.0,200.0,186.0,14.0,44.0,100.0,15.0,41.0,84.0,44.0,29.0,399.0,51.0,391.0,59.0,4951.0,1017.0,3934.0,1717.0,386.0000000000001,351.0,461.00000000000006,1384.0,332.99999999999994,587.0000000000001,955.0000000000001,125.99999999999997,48.99999999999998,152026.0,37701.0,52045.0,4184.0,4809.0,98739.0,46666.0,52073.0,,
