County,"Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2011-2015 average",Adult poverty rate as percent of state adult poverty rate,,Raw numbers,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses
Sacramento,696.0,3374.7395889263544,554.6487403621056,2820.090848564249,1322.244451025782,519.6906234071316,277.32279244811656,182.22917963626693,2140.261056278896,526.5950364940296,994.7244447845211,1188.163133131417,4783.463394293203,505.42971604222834,0.12684362706256863,1.0204307768525331,,Sacramento,6608.0,3813.0,6311.0,297.0,1707.0,1264.0,2947.0,690.0,4792.0,809.0,540.0,96.0,20.0,2333.0,443.0,1890.0,1659.0,1564.0,95.0,476.0,332.0,694.0,943.0,743.0,157.0,839.0
San Benito,22.0,1569.8805223673244,310.8502361767157,1259.0302861906086,1509.6850131777592,475.9345973746834,166.32123026534634,447.78792763747094,2375.1742655031753,659.429846809374,1257.5747703134164,1733.0779651515859,3005.464480874317,764.9158592554819,0.11568645274672,0.9306736142874438,,San Benito,106.0,131.0,102.0,4.0,21.0,80.0,1.0,4.0,84.0,9.0,6.0,0.0,0.0,30.0,7.0,23.0,31.0,31.0,0.0,5.0,22.0,1.0,11.0,14.0,3.0,21.0
San Bernardino,1152.0,3264.9701786650803,467.027975196387,2797.9422034686936,1696.7604075517868,572.9910715869809,493.5785116283691,285.00521965485694,2691.9185522808807,706.7177828994683,1473.3353737691423,1621.0786811267196,4039.1355379905276,689.0067083336626,0.1279826464208243,1.029593952295487,,San Bernardino,8299.0,5074.0,7912.0,387.0,1905.0,3644.0,2381.0,369.0,5672.0,1253.0,657.0,126.0,29.0,2602.0,369.0,2233.0,2938.0,2752.0,186.0,705.0,1369.0,723.0,2017.0,1703.0,141.0,1599.0
San Diego,1303.0,2271.3005223682812,334.12883455813653,1937.1716878101447,961.2169542347835,361.24284075833134,158.06059603720468,132.39878189525305,1466.8938463367278,434.0798086340484,815.3272247911391,1013.2994663089701,3511.6760795283535,458.45082701522955,0.11684824982939411,0.9400200318180096,,San Diego,8597.0,5334.0,8201.0,396.0,2341.0,3125.0,2367.0,764.0,6059.0,1436.0,681.0,98.0,34.0,3109.0,493.0,2616.0,2300.0,2100.0,200.0,729.0,891.0,511.0,1439.0,1351.0,169.0,1251.0
San Francisco**,135.0,7037.821454557251,786.5759557320752,6251.245498825176,1098.5829984853606,292.2878565974439,166.48516028890808,132.53094996682813,1779.9661449106836,370.0645913263076,793.9661436799507,1038.9423915161585,8920.005958587815,348.09835965207657,0.11743235932636845,0.9447190720580877,,San Francisco,952.0,1212.0,931.0,21.0,132.0,143.0,541.0,136.0,785.0,107.0,27.0,8.0,1.0,171.0,41.0,130.0,139.0,138.0,1.0,17.0,26.0,80.0,59.0,70.0,16.0,91.0
San Joaquin,241.0,4231.616651570277,791.1516369389195,3440.4650146313575,1259.49285212888,489.0369619480043,239.2166925747393,122.15320471901582,2025.404235166768,488.8467216636955,1247.001552137717,1173.7700918723212,3761.9298553779495,478.52393769986423,0.1437333806062755,1.1563053550916995,,San Joaquin,2880.0,1211.0,2769.0,111.0,609.0,1075.0,854.0,342.0,2145.0,367.0,162.0,21.0,7.0,702.0,91.0,611.0,884.0,847.0,37.0,218.0,340.0,256.0,567.0,332.0,70.0,446.0
San Luis Obispo,96.0,2860.8169221655517,409.61696840097676,2451.199953764575,830.5336841995777,332.31748541235453,190.34147051787443,115.45302310100578,1279.444582196876,335.66219481527645,807.881481041863,897.384906035597,1724.4918907821802,508.4745762711864,0.1508722242491327,1.21373587748378,,San Luis Obispo,640.0,495.0,615.0,25.0,325.0,214.0,80.0,21.0,436.0,96.0,60.0,8.0,2.0,232.0,54.0,178.0,202.0,198.0,4.0,116.0,60.0,23.0,127.0,122.0,3.0,119.0
San Mateo,146.0,2257.3880234804988,223.31853700847353,2034.069486472025,691.1236130645414,231.48148148148147,180.88763869354585,84.38818565400844,1112.3571189675185,275.821937736398,456.5853658536585,984.302527610328,4659.264097539734,408.6761257254468,0.06296905406783192,0.5065730320720907,,San Mateo,1199.0,869.0,1158.0,41.0,246.0,418.0,301.0,234.0,895.0,149.0,109.0,19.0,5.0,368.0,78.0,290.0,342.0,327.0,15.0,71.0,122.0,81.0,203.0,165.0,68.0,190.0
Santa Barbara,165.0,2355.135985614745,304.7875927174646,2050.3483928972805,1183.113740252756,376.44528098951326,206.37268082817963,323.00349556332344,1842.0169394483821,495.3045676561308,969.2234070666887,1411.8088507750876,4367.201426024955,467.05587989991665,0.14945797749976367,1.202358554534729,,Santa Barbara,1159.0,943.0,1110.0,49.0,270.0,718.0,124.0,47.0,856.0,127.0,84.0,15.0,4.0,333.0,65.0,268.0,329.0,309.0,20.0,73.0,219.0,28.0,209.0,149.0,9.0,205.0
Santa Clara,522.0,2607.7462192614285,250.69160807100616,2357.0546111904223,723.8177372184086,273.92309523791056,171.00804784812934,86.70612131256627,1147.5165789057692,290.9857141065359,540.2260073765982,1351.13602832694,3493.6008301625734,263.4971543565073,0.08451970008384926,0.6799435274218568,,Santa Clara,4080.0,3474.0,3980.0,100.0,740.0,2088.0,666.0,586.0,3151.0,517.0,247.0,59.0,16.0,1290.0,409.0,881.0,911.0,857.0,54.0,147.0,553.0,113.0,583.0,450.0,98.0,548.0
Santa Cruz,62.0,3805.283639792208,426.28787354794554,3378.9957662442616,1101.2499419171972,381.53947823572844,207.5492154949429,195.15821755494633,1791.4909299373492,398.93755533565957,1002.9158531235755,1291.1835849528736,7039.911308203991,420.9452133426877,0.13009504331087585,1.0465877489051731,,Santa Cruz,547.0,385.0,527.0,20.0,211.0,283.0,31.0,22.0,424.0,69.0,32.0,4.0,0.0,125.0,13.0,112.0,110.0,106.0,4.0,40.0,58.0,7.0,84.0,89.0,5.0,68.0
Shasta,113.0,4055.8908584437595,783.0984970102418,3272.7923614335177,1540.1512271364002,350.6104000337938,333.7135132851772,196.848730621383,2386.85519859114,713.116670563479,1539.968046178426,1073.6653742916792,10863.239573229874,1062.3781676413255,0.1647677558355051,1.3255225586109805,,Shasta,1151.0,323.0,1089.0,62.0,912.0,74.0,74.0,91.0,701.0,229.0,134.0,22.0,7.0,455.0,66.0,389.0,369.0,338.0,31.0,297.0,17.0,26.0,181.0,198.0,29.0,201.0
Sierra,0.0,1143.9466158245948,95.32888465204957,1048.6177311725453,1605.5045871559635,596.3302752293579,183.4862385321101,550.4587155963303,2266.5457842248416,928.5051067780872,1733.1932773109245,518.1347150259068,0.0,1282.051282051282,0.09781576448243115,0.7869076188588955,,Sierra,7.0,0.0,7.0,0.0,5.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
Siskiyou,26.0,2085.3932584269664,303.3707865168539,1782.0224719101125,2392.279461737121,655.837977436455,288.840560010874,451.95052331113226,3552.0974289580518,1222.00983069361,2207.7810294370806,2413.127413127413,6435.6435643564355,3358.2089552238804,0.18242318223303924,1.4675568167894508,,Siskiyou,208.0,104.0,192.0,16.0,153.0,13.0,13.0,29.0,120.0,46.0,23.0,3.0,1.0,66.0,6.0,60.0,70.0,64.0,6.0,53.0,3.0,6.0,29.0,28.0,8.0,39.0
Solano,156.0,3511.8003480351395,480.58667449396296,3031.213673541176,1350.2785350643385,485.1138294601927,326.3370189822744,178.37054453689532,2116.4305378365675,574.5055512873683,1145.6762604077885,1153.2551092217323,3592.842311550755,416.28046896596584,0.0924984446883631,0.7441308795469731,,Solano,1017.0,936.0,980.0,37.0,250.0,168.0,511.0,88.0,805.0,110.0,50.0,10.0,1.0,184.0,36.0,148.0,270.0,254.0,16.0,79.0,43.0,130.0,150.0,106.0,18.0,162.0
Sonoma,172.0,2362.61477866324,378.70474198993577,1983.9100366733041,935.0566459230893,366.13139533196977,202.79385525914964,136.93662329373194,1494.7752877821665,381.4459166243479,837.9900607399227,992.4693194496094,5120.828538550058,757.9118603963325,0.10332122918008192,0.8311979450538945,,Sonoma,941.0,968.0,906.0,35.0,421.0,324.0,104.0,92.0,658.0,154.0,72.0,13.0,1.0,249.0,26.0,223.0,258.0,244.0,14.0,126.0,79.0,36.0,111.0,149.0,17.0,143.0
