County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,
Mariposa,35.0,68.0,8.0,44.0,15.0,5.0,3.0,2.0,13.0,5.0,8.0,29.0,21.0,3.0,1.0,4.0,19.0,16.0,28.0,7.0,219.0,37.0,182.0,237.0,64.0,44.0,47.0,192.0,45.0,151.00000000000003,62.999999999999986,8.0,15.0,18119.0,10519.240195268969,1046.8735169041804,98.14984364652504,797.049992994609,12461.313548814283,6414.0,6078.0,,
Mendocino,232.0,339.0,18.0,216.0,48.0,55.0,12.0,9.0,34.0,2.0,32.0,122.0,70.0,28.0,8.0,16.0,133.0,99.0,204.0,28.0,1424.0,488.0,936.0,1433.0,353.0,274.0,496.0,1098.0,335.0,972.0000000000002,240.00000000000014,38.0,183.0,87939.0,43000.33291094932,11652.813874301391,411.92390601275093,4591.831156328684,59656.90184759215,30102.0,29417.0,,
Merced,619.0,1052.0,53.0,636.0,219.0,143.0,73.0,5.0,235.0,41.0,194.0,381.0,101.0,198.0,56.0,26.0,439.0,180.0,571.0,48.0,5978.0,1448.0,4530.0,3618.0,960.0,860.0,1076.0,2872.0,746.0,1098.0000000000002,1961.0000000000002,393.99999999999994,165.00000000000009,256386.0,56200.93862167754,82246.7997930491,5803.783008885648,14755.851951028279,159007.37337464056,80259.0,78482.0,,
Modoc,16.0,27.0,0.0,21.0,4.0,1.0,1.0,0.0,4.0,0.0,4.0,6.0,3.0,3.0,0.0,0.0,9.0,7.0,12.0,4.0,114.0,17.0,97.0,178.0,62.0,36.0,33.0,137.0,41.0,129.00000000000003,22.000000000000004,4.0,23.0,9676.00000000001,5103.663579768167,763.3092530469312,52.041214704479735,360.9608447516357,6279.974892271214,3166.0,3125.0,,
Mono,26.0,25.0,3.0,13.0,9.0,3.0,2.0,0.0,6.0,2.0,4.0,7.0,4.0,1.0,0.0,2.0,18.0,8.0,25.0,1.0,244.0,59.0,185.0,144.0,40.0,43.0,34.0,117.0,27.0,90.0,42.00000000000001,1.0,11.0,14114.0,7566.844541794686,2361.7032020497236,29.67744725219217,442.4179821980324,10400.643173294635,5618.0,4762.0,,
Monterey,1024.0,1604.0,111.0,1059.0,236.0,274.0,114.0,8.0,369.0,38.0,331.0,648.0,157.0,405.0,68.0,18.0,749.0,275.0,912.0,112.0,8208.0,2037.0,6171.0,3996.0,1250.0,931.0,984.0,3137.0,859.0,1168.9999999999993,2357.0000000000005,328.00000000000006,142.0,415824.9999999993,96071.15926518405,144303.3984612784,8768.661542079826,24810.20754263646,273953.42681117874,143328.0,129684.0,,
Napa,253.0,361.0,19.0,206.0,81.0,56.0,14.0,7.0,89.0,21.0,68.0,168.0,65.0,79.0,18.0,6.0,167.0,86.0,226.0,27.0,2047.0,651.0,1396.0,1405.0,328.0,305.0,326.0,1131.0,274.0,720.9999999999998,475.9999999999999,134.99999999999994,73.0,136681.0,52700.94910353216,27686.35616368083,1782.002185236561,8714.570550972494,90883.87800342205,45752.0,44813.0,,
Nevada,171.0,127.0,9.0,86.0,27.0,17.0,8.0,2.0,23.0,6.0,17.0,40.0,22.0,11.0,1.0,6.0,86.0,85.0,141.0,30.0,1169.0,311.0,858.0,770.0,210.0,172.0,268.0,591.0,179.0,673.0000000000001,66.0,13.0,18.0,98484.00000000017,58166.68489005462,5383.996652839671,235.19430551289983,2949.653364714948,66735.52921312214,33198.0,33529.0,,
Orange,6015.0,8321.0,480.0,4957.0,1756.0,1502.0,743.0,33.0,1813.0,395.0,1418.0,3547.0,1336.0,1704.0,243.0,264.0,3341.0,2674.0,5272.0,743.0,39450.0,6907.0,32543.0,23142.0,5090.0,6290.0,8152.0,17800.0,5342.0,9997.999999999995,9845.999999999985,1253.000000000001,2044.9999999999995,3017089.0,932628.607299705,638497.2574257954,33997.07197253531,433713.46132321074,2038836.3980212463,1010132.0,1021185.0,,
Placer,487.0,944.0,75.0,405.0,294.0,201.0,89.0,5.0,312.0,51.0,261.0,393.0,283.0,56.0,27.0,27.0,320.0,167.0,420.0,67.0,4989.0,785.0,4204.0,3338.0,633.0,904.0,886.0,2465.0,873.0,2515.0,423.00000000000006,242.00000000000009,158.00000000000003,350609.0,174699.26689325785,27716.694000603115,3148.132334802771,22267.984554862924,227832.07778352665,110739.0,115505.0,,
