County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)",Violent crimes reported,"Property crimes reported (excluding larceny under $400 and arson, per CCI)","Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,
Monterey,1575.0,1069.0,1516.0,59.0,293.0,996.0,221.0,65.0,1098.0,170.0,166.0,50.0,5.0,459.0,43.0,416.0,457.0,431.0,26.0,85.0,282.0,63.0,27.0,202.0,90.0,76.0,765.0,304.0,908.0,161.0,8431.000000000002,1866.0000000000005,6565.000000000002,3941.9999999999995,1135.0,926.0,1077.0,3065.0,876.9999999999994,1080.0000000000002,2406.999999999999,297.00000000000006,158.00000000000009,421486.0,92983.0,152450.0,8625.0,25363.0,279421.0,146110.21764669876,133310.78235330124,,
Napa,301.0,255.0,291.0,10.0,148.0,103.0,33.0,17.0,203.0,42.0,28.0,8.0,2.0,89.0,21.0,68.0,86.0,83.0,3.0,33.0,32.0,11.0,10.0,40.0,20.0,9.0,178.0,77.0,218.0,37.0,2067.000000000001,485.0,1582.000000000001,1563.0,300.0,389.0,366.0,1191.0,372.0,838.0000000000003,403.00000000000006,241.00000000000003,81.0,138032.0,52346.0,29386.0,1831.0,9080.0,92643.0,46769.02784907831,45873.97215092169,,
Nevada,96.0,179.0,93.0,3.0,80.0,7.0,2.0,7.0,71.0,13.0,3.0,0.0,1.0,26.0,6.0,20.0,24.0,23.0,1.0,22.0,1.0,0.0,1.0,11.0,6.0,1.0,138.0,41.0,155.0,24.0,1406.0,243.00000000000009,1163.0,723.0,156.0,183.0,278.0,545.0,178.0,653.0,53.0,12.0,5.000000000000001,97926.0,57192.0,6005.0,253.0,3323.0,66773.0,33132.21512155726,33640.78487844274,,
Orange,7137.0,6835.0,6851.0,286.0,1868.0,3879.0,726.0,664.0,5008.0,1016.0,630.0,282.0,11.0,1696.0,394.0,1302.0,1910.0,1779.0,131.0,606.0,1001.0,181.0,122.0,876.0,442.0,351.0,3558.0,3277.0,5911.0,924.0,44627.99999999997,6788.999999999999,37838.99999999997,22930.0,5019.0,5982.0,8600.0,17565.0,5365.0,10238.000000000002,9487.999999999996,1269.999999999998,1933.9999999999998,3074546.0,933978.0,676839.0,36131.0,444928.0,2091876.0,1040423.4578070571,1051452.542192943,,
Placer,658.0,606.0,628.0,30.0,451.0,92.0,70.0,45.0,369.0,141.0,68.0,21.0,4.0,279.0,55.0,224.0,161.0,151.0,10.0,118.0,24.0,14.0,5.0,70.0,40.0,18.0,393.0,213.0,522.0,84.0,4763.999999999999,679.9999999999998,4083.999999999999,3579.0,614.0,968.0,1061.0,2575.0,1004.0,2651.999999999999,471.0,274.0,181.99999999999997,360440.0,175646.0,32784.0,3217.0,24901.0,236548.0,115618.08722755768,120929.91277244232,,
Plumas,40.0,45.0,38.0,2.0,36.0,1.0,2.0,1.0,32.0,4.0,2.0,0.0,0.0,10.0,0.0,10.0,12.0,9.0,3.0,12.0,0.0,0.0,0.0,7.0,3.0,1.0,35.0,10.0,35.0,10.0,379.9999999999999,108.0,271.9999999999999,264.0,93.0,53.0,63.0,195.0,69.0,237.0,14.0,6.999999999999999,6.0,19558.0,11618.0,1004.0,130.0,720.0,13472.0,6753.312353001153,6718.687646998847,,
Riverside,9508.0,3907.0,9029.0,479.0,2642.0,4302.0,2231.0,333.0,6406.0,1410.0,995.0,443.0,31.0,3281.0,540.0,2741.0,2433.0,2283.0,150.0,759.0,1099.0,511.0,64.0,1250.0,550.0,276.0,2657.0,1250.0,3446.0,461.0,49905.00000000004,6988.999999999994,42916.000000000044,20034.0,4736.0,5242.0,6263.0,15562.0,4472.0,7594.999999999998,8930.999999999996,2856.000000000002,651.9999999999998,2249773.0,589550.0,630211.0,94508.0,129887.0,1444156.0,722077.7432540356,722078.2567459644,,
Sacramento,6630.0,3826.0,6354.0,276.0,1828.0,1255.0,2962.0,585.0,4879.0,796.0,453.0,136.0,12.0,2327.0,572.0,1755.0,1366.0,1296.0,70.0,424.0,295.0,555.0,92.0,681.0,255.0,127.0,2239.0,1587.0,3375.0,451.0,39435.999999999985,8016.999999999996,31418.999999999993,15388.0,4469.0,3906.0,4160.0,12162.0,3226.0,6189.000000000001,2828.0,5230.0,1141.0000000000007,1435682.0,488445.0,194404.0,96945.0,186016.0,965810.0,475537.8441309786,490272.1558690214,,
San Benito,124.0,132.0,118.0,6.0,24.0,95.0,3.0,2.0,84.0,13.0,17.0,10.0,0.0,21.0,7.0,14.0,41.0,37.0,4.0,13.0,27.0,0.0,1.0,28.0,4.0,4.0,86.0,46.0,112.0,20.0,884.9999999999998,216.99999999999997,667.9999999999998,459.0,138.0,90.0,117.0,354.0,105.0,151.00000000000003,290.99999999999994,5.000000000000001,12.000000000000002,56822.0,13670.0,20817.0,317.0,2356.0,37160.0,18357.205180039935,18802.794819960065,,
San Bernardino,9015.0,5624.0,8597.0,418.0,2291.0,3791.0,2701.0,232.0,5856.0,1431.0,918.0,344.0,36.0,2865.0,632.0,2233.0,3044.0,2846.0,198.0,785.0,1388.0,822.0,49.0,1480.0,676.0,307.0,4155.0,1469.0,4958.0,666.0,51648.000000000015,9032.0,42616.000000000015,28903.0,7254.0,8949.0,8370.0,22186.0,6717.0,9785.000000000002,12840.000000000002,5429.000000000003,849.0000000000008,2064118.0,484301.0,629283.0,121142.0,120771.0,1355497.0,674723.4110488341,680773.5889511659,,
